Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Compost volume (m3), Composting Method,M1_is Enclosed,Period (d),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),Initial GI (%),Final GI (%),CO2-C loss (%)
Food waste,Straw,Sawdust,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Sewage sludge,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Straw,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Wood chips,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Byproduct,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Cow manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Green waste,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Mature compost,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,None,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Poultry manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Poultury manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Sawdust,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Sewage sludge,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Straw,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Poultry manure,Straw,Wood chips,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Byproduct,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Cow manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Green waste,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Mature compost,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,None,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Poultry manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Poultury manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Sawdust,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Sewage sludge,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Straw,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Sewage sludge,Straw,Wood chips,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Byproduct,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Cow manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Green waste,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Mature compost,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,None,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Poultry manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Poultury manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Sawdust,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Sewage sludge,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Straw,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Swine manure,Straw,Wood chips,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
